tdtfile	medfile	rat	session	box	dietgroup	date	bottleL	bottleR	sig-blue	sig-uv	ttl-trialL	ttl-trialR	ttl-lickL	ttl-lickR	include-mat	include-py	endcol	
Fabien-181109-090214	!2018-11-09_08h23m.Subject QPPh1.02	QPPh1.02	Quin0.03	2	NR	09/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	97
Fabien-181109-094827	!2018-11-09_09h41m.Subject QPPh1.03	QPPh1.03	Quin0.03	1	PR	09/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	98
Fabien-181109-094827	!2018-11-09_09h41m.Subject QPPh1.04	QPPh1.04	Quin0.03	2	PR	09/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	99
Fabien-181109-102854	!2018-11-09_10h24m.Subject QPPh1.05	QPPh1.05	Quin0.03	1	PR	09/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	100
Fabien-181109-102854	!2018-11-09_10h24m.Subject QPPh1.06	QPPh1.06	Quin0.03	2	PR	09/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	101
Fabien-181109-111258	!2018-11-09_11h11m.Subject QPPh1.07	QPPh1.07	Quin0.03	1	NR	09/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	102
Fabien-181109-111258	!2018-11-09_11h11m.Subject QPPh1.08	QPPh1.08	Quin0.03	2	NR	09/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	103
Fabien-181112-084640	!2018-11-12_08h37m.Subject QPPh1.01	QPPh1.01	Quin0.06	1	NR	12/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	104
Fabien-181112-084640	!2018-11-12_08h37m.Subject QPPh1.02	QPPh1.02	Quin0.06	2	NR	12/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	105
Fabien-181112-093032	!2018-11-12_09h28m.Subject QPPh1.03	QPPh1.03	Quin0.06	1	PR	12/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	106
Fabien-181112-093032	!2018-11-12_09h28m.Subject QPPh1.04	QPPh1.04	Quin0.06	2	PR	12/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	107
Fabien-181112-100941	!2018-11-12_10h08m.Subject QPPh1.05	QPPh1.05	Quin0.06	1	PR	12/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	108
Fabien-181112-100941	!2018-11-12_10h08m.Subject QPPh1.06	QPPh1.06	Quin0.06	2	PR	12/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	109
Fabien-181112-105458	!2018-11-12_10h53m.Subject QPPh1.07	QPPh1.07	Quin0.06	1	NR	12/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	110
Fabien-181112-105458	!2018-11-12_10h53m.Subject QPPh1.08	QPPh1.08	Quin0.06	2	NR	12/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	111
Fabien-181113-090656	!2018-11-13_07h56m.Subject QPPh1.01	QPPh1.01	Quin0.06	1	NR	13/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	112
Fabien-181113-090656	!2018-11-13_07h56m.Subject QPPh1.02	QPPh1.02	Quin0.06	2	NR	13/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	113
Fabien-181113-094517	!2018-11-13_09h43m.Subject QPPH1.03	QPPh1.03	Quin0.06	1	PR	13/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	114
Fabien-181113-094517	!2018-11-13_09h43m.Subject QPPH1.04	QPPh1.04	Quin0.06	2	PR	13/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	115
Fabien-181113-102628	!2018-11-13_10h25m.Subject QPPh1.05	QPPh1.05	Quin0.06	1	PR	13/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	116
Fabien-181113-102628	!2018-11-13_10h25m.Subject QPPh1.06	QPPh1.06	Quin0.06	2	PR	13/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	117
Fabien-181113-110932	!2018-11-13_11h06m.Subject QPPh1.07	QPPh1.07	Quin0.06	1	NR	13/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	118
Fabien-181113-110932	!2018-11-13_11h06m.Subject QPPh1.08	QPPh1.08	Quin0.06	2	NR	13/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	119
Fabien-181114-093343	!2018-11-14_09h32m.Subject QPPh1.01	QPPh1.01	Quin0.1	1	NR	14/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	120
Fabien-181114-093343	!2018-11-14_09h32m.Subject QPPh1.02	QPPh1.02	Quin0.1	2	NR	14/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	121
Fabien-181114-101151	!2018-11-14_10h10m.Subject QPPh1.03	QPPh1.03	Quin0.1	1	PR	14/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	122
Fabien-181114-101151	!2018-11-14_10h10m.Subject QPPh1.04	QPPh1.04	Quin0.1	2	PR	14/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	123
Fabien-181114-105531	!2018-11-14_10h53m.Subject QPPh1.05	QPPh1.05	Quin0.1	1	PR	14/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	124
Fabien-181114-105531	!2018-11-14_10h53m.Subject QPPh1.06	QPPh1.06	Quin0.1	2	PR	14/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	125
Fabien-181114-113433	!2018-11-14_11h32m.Subject QPPh1.07	QPPh1.07	Quin0.1	1	NR	14/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	126
Fabien-181114-113433	!2018-11-14_11h32m.Subject QPPh1.08	QPPh1.08	Quin0.1	2	NR	14/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	127
Fabien-181115-085551	!2018-11-15_08h46m.Subject QPPh1.01	QPPh1.01	Quin0.1	1	NR	15/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	128
Fabien-181115-085551	!2018-11-15_08h46m.Subject QPPh1.02	QPPh1.02	Quin0.1	2	NR	15/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	129
Fabien-181115-093616	!2018-11-15_09h34m.Subject QPPH1.03	QPPh1.03	Quin0.1	1	PR	15/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	130
Fabien-181115-093616	!2018-11-15_09h34m.Subject QPPH1.04	QPPh1.04	Quin0.1	2	PR	15/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	131
Fabien-181115-101651	!2018-11-15_10h15m.Subject QPPh1.05	QPPh1.05	Quin0.1	1	PR	15/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	132
Fabien-181115-101651	!2018-11-15_10h15m.Subject QPPh1.06	QPPh1.06	Quin0.1	2	PR	15/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	133
Fabien-181115-105641	!2018-11-15_10h54m.Subject QPPh1.07	QPPh1.07	Quin0.1	1	NR	15/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	134
Fabien-181115-105641	!2018-11-15_10h54m.Subject QPPh1.08	QPPh1.08	Quin0.1	2	NR	15/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	135
Fabien-181116-081846	!2018-11-16_08h04m.Subject QPPh1.01	QPPh1.01	Quin0.5	1	NR	16/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	136
Fabien-181116-081846	!2018-11-16_08h04m.Subject QPPh1.02	QPPh1.02	Quin0.5	2	NR	16/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	137
Fabien-181116-090502	!2018-11-16_09h02m.Subject QPPh1.03	QPPh1.03	Quin0.5	1	PR	16/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	138
Fabien-181116-090502	!2018-11-16_09h02m.Subject QPPh1.04	QPPh1.04	Quin0.5	2	PR	16/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	139
Fabien-181116-095540	!2018-11-16_09h46m.Subject QPPh1.05	QPPh1.05	Quin0.5	1	PR	16/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	140
Fabien-181116-095540	!2018-11-16_09h46m.Subject QPPh1.06	QPPh1.06	Quin0.5	2	PR	16/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	141
Fabien-181116-103515	!2018-11-16_10h33m.Subject QPPh1.07	QPPh1.07	Quin0.5	1	NR	16/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	142
Fabien-181116-103515	!2018-11-16_10h33m.Subject QPPh1.08	QPPh1.08	Quin0.5	2	NR	16/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	143
Fabien-181119-084756	!2018-11-19_08h21m.Subject QPPh1.01	QPPh1.01	Quin0.5	1	NR	19/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	144
